# Digitised from Texas Instruments TIDA-01492 design guide (TIDUDA4, Figure 47),
# "150-kHz to 30-MHz Conducted Emissions - Peak and Average Detection".
# (c) Texas Instruments Incorporated; reproduced here as measured reference data
# for EMC-pipeline validation (ABT #810). Not Faraday's to license.
#
# Board:      TIDA-01492, LM73605-Q1 front end at 2.2 MHz, CISPR 25 Class 5 target
# Instrument: Rohde & Schwarz receiver, Ref Lvl 70 dBuV, RBW 10 kHz, VBW 30 kHz,
#             sweep 10 s, RF Att 10 dB, 150 kHz - 30 MHz log sweep, 17 Jul 2017
# Method:     scripts/digitize_ce_screenshot.py, topmost trace pixel per column
# Checks:     marker 13.42 dBuV @ 30 MHz -> 13.27 digitised (0.15 dB);
#             Class 5 limit lines recovered at 54.04/34.09 (MW) and 50.05 (LW AV)
#             against Faraday's own 54/34/50 - see docs/validation-conducted.md
#
# Accuracy: about +/-0.5 dB from the pixel grid, worse where the trace is steep
# or the two traces cross. Fine for a per-decade error band; not for pinning a
# single harmonic.
frequency_hz,detector,level_dbuv
3.21301e+06,peak,11.15
3.2301e+06,peak,11.02
3.24729e+06,peak,10.90
3.26456e+06,peak,9.78
3.28193e+06,peak,9.15
3.29939e+06,peak,9.03
3.31694e+06,peak,8.90
3.33458e+06,peak,8.78
3.35232e+06,peak,8.65
3.37015e+06,peak,8.78
3.38808e+06,peak,9.15
3.40611e+06,peak,8.78
3.42422e+06,peak,9.15
3.44244e+06,peak,9.03
3.46075e+06,peak,9.28
3.47916e+06,peak,9.78
3.49767e+06,peak,10.65
3.51628e+06,peak,10.52
3.53498e+06,peak,10.65
3.55379e+06,peak,10.27
3.57269e+06,peak,10.52
3.5917e+06,peak,9.78
3.6108e+06,peak,9.40
3.63001e+06,peak,9.28
3.64932e+06,peak,11.15
3.66873e+06,peak,11.02
3.68825e+06,peak,11.27
3.70787e+06,peak,11.27
3.72759e+06,peak,11.02
3.74742e+06,peak,10.27
3.76736e+06,peak,9.78
3.7874e+06,peak,9.28
3.80755e+06,peak,9.40
3.8278e+06,peak,9.53
3.84816e+06,peak,9.90
3.86863e+06,peak,9.78
3.88921e+06,peak,9.90
3.9099e+06,peak,9.78
3.9307e+06,peak,9.78
3.95161e+06,peak,9.28
3.97263e+06,peak,9.65
3.99376e+06,peak,9.53
4.01501e+06,peak,9.15
4.03637e+06,peak,9.78
4.05784e+06,peak,10.65
4.07943e+06,peak,10.52
4.10113e+06,peak,10.40
4.12294e+06,peak,9.28
4.14488e+06,peak,8.65
4.16692e+06,peak,8.53
4.18909e+06,peak,10.90
4.21138e+06,peak,20.25
4.23378e+06,peak,29.85
4.2563e+06,peak,29.73
4.27894e+06,peak,27.36
4.3017e+06,peak,27.23
4.32459e+06,peak,8.90
4.34759e+06,peak,8.78
4.37072e+06,peak,8.78
4.39397e+06,peak,10.27
4.41734e+06,peak,12.39
4.44084e+06,peak,12.27
4.46447e+06,peak,11.90
4.48822e+06,peak,12.27
4.51209e+06,peak,12.64
4.53609e+06,peak,14.01
4.56022e+06,peak,15.64
4.58448e+06,peak,15.26
4.60887e+06,peak,15.89
4.63339e+06,peak,15.76
4.65804e+06,peak,15.76
4.68281e+06,peak,14.76
4.70772e+06,peak,13.64
4.73277e+06,peak,13.52
4.75794e+06,peak,13.39
4.78325e+06,peak,13.27
4.8087e+06,peak,13.39
4.83428e+06,peak,13.27
4.86e+06,peak,13.39
4.88585e+06,peak,13.27
4.91184e+06,peak,13.14
4.93797e+06,peak,13.02
4.96424e+06,peak,12.89
4.99065e+06,peak,12.77
5.01719e+06,peak,12.89
5.04388e+06,peak,13.27
5.07071e+06,peak,13.89
5.09769e+06,peak,13.77
5.12481e+06,peak,12.14
5.15207e+06,peak,12.02
5.17947e+06,peak,13.89
5.20703e+06,peak,13.77
5.23473e+06,peak,13.64
5.26257e+06,peak,12.77
5.29057e+06,peak,11.90
5.31871e+06,peak,11.27
